City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
187,Chimore,BO,84.81,overcast clouds,-16.9833,-65.1333,Bichito
189,Jalgaon,IN,73.83,broken clouds,21.0167,75.5667,Hotel Plaza (BOOKING FOR FOREIGN TOURIST ONLY)
192,Gorontalo,ID,76.33,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
195,San Patricio,US,78.91,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
202,Carnarvon,AU,73.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
203,Manoel Urbano,BR,88.36,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
204,Pangai,TO,79.0,few clouds,-19.8,-174.35,Ha'apai Beach Resort
218,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
224,Sembakung,ID,78.73,overcast clouds,3.8167,117.25,
226,Innisfail,AU,75.34,broken clouds,-17.5333,146.0333,Moondarra Motel
227,Cabo San Lucas,MX,82.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
228,Namatanai,PG,80.42,light rain,-3.6667,152.4333,Seagulls Inn Namatani
231,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
233,Coruripe,BR,85.35,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
239,Labuan,MY,79.16,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
244,Kindu,CD,75.6,light rain,-2.95,25.95,Résidence Okanda
249,Sumter,US,75.29,scattered clouds,28.7086,-82.0831,Paradise Oaks RV Resort
252,Sainte-Marie,RE,80.76,clear sky,-20.8968,55.5496,Les pailles en queue de Sainte Marie
254,Bubaque,GW,81.37,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
256,Cap Malheureux,MU,79.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
257,Ghanzi,BW,84.45,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
258,Huarmey,PE,71.83,broken clouds,-10.0681,-78.1522,Hotel Miramar
259,Brokopondo,SR,82.49,scattered clouds,4.75,-55.1667,Matu Island
260,Neuquen,AR,71.49,broken clouds,-38.9516,-68.0591,Hotel del Comahue
262,Birao,CF,83.61,scattered clouds,10.2849,22.7882,
266,Caiaponia,BR,84.81,broken clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
267,Kavieng,PG,82.49,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
268,Ouango,CF,78.21,overcast clouds,4.3133,22.5552,
269,Sampit,ID,73.58,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
270,Mahibadhoo,MV,81.97,broken clouds,3.7833,72.9667,Omadhoo Inn
274,Itaituba,BR,86.16,scattered clouds,-4.2761,-55.9836,Hotel Campos
277,Kerema,PG,77.85,overcast clouds,-7.9631,145.7785,Frena Lodge
283,Nuqui,CO,81.3,moderate rain,5.7125,-77.2708,Hotel Nuquimar
286,Vao,NC,76.44,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
288,Terdal,IN,71.19,clear sky,16.5,75.05,Naikwadi mansion
289,Bandarbeyla,SO,78.13,clear sky,9.4942,50.8122,JABIR HOTEL
291,Mount Isa,AU,83.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
297,Itajuba,BR,85.75,scattered clouds,-22.4256,-45.4528,Hotel Oriente
298,High Rock,BS,75.22,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
301,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
305,Bambous Virieux,MU,79.21,few clouds,-20.3428,57.7575,Casa Tia Villa
309,Yulara,AU,80.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
310,Sola,VU,79.45,overcast clouds,-13.8833,167.55,Leumerus Bungalows
311,Saint-Joseph,RE,79.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
312,Sur,OM,74.66,clear sky,22.5667,59.5289,Sur Plaza Hotel
317,Aketi,CD,71.76,light rain,2.7388,23.7833,
318,Antalaha,MG,76.39,light rain,-14.9003,50.2788,Hotel Vitasoa
322,Bull Savanna,JM,82.42,overcast clouds,17.8868,-77.5902,Big Red's
326,Alice Town,BS,75.51,scattered clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
328,Cotonou,BJ,87.78,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
333,Coahuayana,MX,86.97,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
335,Chuy,UY,72.73,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
337,Parambu,BR,85.82,broken clouds,-6.2111,-40.6944,Hotel pousada santo onofre
341,Acarau,BR,88.16,broken clouds,-2.8856,-40.12,castelo pizzaria
343,Alae,PH,70.16,overcast clouds,8.4244,124.8128,Chewy
345,Perth,AU,75.38,clear sky,-31.9333,115.8333,Beatty Lodge
347,Gombong,ID,81.82,moderate rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
348,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
349,Aracruz,BR,79.81,broken clouds,-19.8203,-40.2733,OYO Hotel Iramar
353,Ixtapa,MX,86.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
354,Samarai,PG,80.47,overcast clouds,-10.6167,150.6667,Nuli Sapi
357,Paicol,CO,79.5,overcast clouds,2.4496,-75.775,Posada camino guanacas
360,Cabedelo,BR,88.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
361,Kieta,PG,79.07,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
363,Zemio,CF,80.26,overcast clouds,5.0314,25.1361,OCHA Office
368,Taoudenni,ML,71.28,broken clouds,22.6783,-3.9836,
372,Saint-Pierre,RE,80.28,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
375,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
377,Port Blair,IN,79.68,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
383,Fayaoue,NC,79.7,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
392,Mocuba,MZ,83.71,clear sky,-16.8392,36.9856,Phama Lodge
393,Gizo,SB,82.42,overcast clouds,-8.103,156.8419,Imagination Island
394,Ikongo,MG,73.69,clear sky,-21.8833,47.4333,
396,Kansanshi,ZM,71.19,scattered clouds,-12.0951,26.4273,
398,Cockburn Town,TC,79.86,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
405,Nova Granada,BR,88.05,clear sky,-20.5339,-49.3142,Casa do maikão
406,Sharjah,AE,76.98,scattered clouds,25.3573,55.4033,Swiss Belhotel Sharjah
407,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
408,Sao Sebastiao,BR,77.07,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
411,Batticaloa,LK,79.41,scattered clouds,7.7102,81.6924,Grand Star Guest House
415,Vaitape,PF,80.46,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
417,Wajir,KE,84.4,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
424,Mafinga,TZ,77.94,overcast clouds,-7.25,35.0667,
425,Lobito,AO,77.92,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
427,Cordoba,AR,79.65,broken clouds,-31.4135,-64.1811,Hotel Sussex
430,Caravelas,BR,81.12,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
432,Senanga,ZM,85.35,broken clouds,-16.1167,23.2667,Zango lodge
439,Yabassi,CM,86.05,overcast clouds,4.457,9.9682,MOTEL FOMI
440,Manokwari,ID,78.48,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
442,Luanda,AO,79.18,light rain,-8.8368,13.2343,Hotel Fórum
444,Sao Jose Da Coroa Grande,BR,83.52,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
446,Amahai,ID,78.17,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
452,Biak,ID,77.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
453,Quatre Cocos,MU,79.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
456,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
457,Mlonggo,ID,72.52,overcast clouds,-6.5333,110.7,Asia Metal Art
458,Nisia Floresta,BR,88.61,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
459,Galle,LK,79.92,broken clouds,6.0367,80.217,Amangalla
462,San Policarpo,PH,77.67,overcast clouds,12.1791,125.5072,Agapita M. Nicart
463,Saint-Georges,GD,82.38,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
464,Yaan,NG,89.22,clear sky,7.3833,8.5667,
466,Tomatlan,MX,84.81,few clouds,19.9333,-105.25,El Salvial
467,Villa Carlos Paz,AR,76.28,broken clouds,-31.4241,-64.4978,Monte Carlo
468,Omboue,GA,79.72,light rain,-1.5746,9.2618,Hotel Olako
470,Nouakchott,MR,82.33,overcast clouds,18.0858,-15.9785,HOTEL IMAN
471,Meulaboh,ID,76.87,few clouds,4.1363,96.1285,Kost Pria
472,Homa Bay,KE,71.28,light rain,-0.5273,34.4571,ACK Guest House - Homa Bay
479,Kalmunai,LK,78.94,scattered clouds,7.4167,81.8167,VS Villa
480,Hidrolandia,BR,89.4,overcast clouds,-4.4081,-40.4378,Camping Pedra do Tatu - Fazenda Alves
483,Tinaquillo,VE,84.27,scattered clouds,9.9186,-68.3047,Hotel Los Copihues
494,Mahanoro,MG,76.78,clear sky,-19.9,48.8,BUNGALOW MAHAMANINA
499,Cairns,AU,75.15,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
508,Tual,ID,82.98,moderate rain,-5.6667,132.75,Grand Vilia Hotel
510,Juba,SS,88.48,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
513,Namibe,AO,72.41,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
518,Veraval,IN,77.05,scattered clouds,20.9,70.3667,Lords Inn Somnath
522,Salinopolis,BR,83.1,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
524,Hualmay,PE,72.07,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
526,Maamba,ZM,87.3,few clouds,-17.3667,27.15,
527,Carutapera,BR,86.77,overcast clouds,-1.195,-46.02,Lidera
529,Bayeux,BR,88.43,scattered clouds,-7.125,-34.9322,Infinity Motel
530,Raga,SS,85.42,broken clouds,8.4596,25.678,
533,Pisco,PE,71.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
534,Itambacuri,BR,77.97,broken clouds,-18.0311,-41.685,Pousada Bela
540,Bindura,ZW,83.01,few clouds,-17.3019,31.3306,Mayfair Lodges and Restaurant
541,Hobyo,SO,79.79,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
543,Sao Tome,ST,81.14,overcast clouds,0.3365,6.7273,Pestana Miramar São Tomé
546,Sambava,MG,77.9,light rain,-14.2667,50.1667,Melrose
550,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
552,Tabou,CI,82.83,scattered clouds,4.423,-7.3528,hotêl doufoulougou
554,Pitanga,BR,86.56,scattered clouds,-24.7572,-51.7614,Hotel Santa Carmem
555,Praya,CV,79.34,overcast clouds,14.9215,-23.5087,LT Aparthotel
558,Uvira,CD,73.53,overcast clouds,-3.4067,29.1458,Hotel Suzana
559,Balabac,PH,77.29,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
561,Kasangulu,CD,72.43,overcast clouds,-4.5911,15.1708,Hôtel le Relais
562,El Carmen,CO,83.12,overcast clouds,8.5106,-73.4478,Hotel La Casona
