City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
78,Salalah,OM,17.0151,54.0924,75.29,41,0,2.3,clear sky
79,Karratha,AU,-20.7377,116.8463,93.94,22,51,17.58,broken clouds
80,Amga,RU,60.8953,131.9608,-16.53,100,96,1.95,overcast clouds
81,Mar Del Plata,AR,-38.0023,-57.5575,62.1,83,42,1.99,scattered clouds
82,Vaini,TO,-21.2,-175.2,84.36,74,75,14.97,light rain
83,Leshukonskoye,RU,64.8989,45.7622,0.48,83,100,7.83,overcast clouds
84,Santa Cruz,BO,-17.8,-63.1667,81.86,78,75,6.91,broken clouds
85,Lerwick,GB,60.1545,-1.1494,39.2,97,98,25.1,overcast clouds
86,Sisimiut,GL,66.9395,-53.6735,39.83,58,100,22.59,overcast clouds
87,San Patricio,US,28.017,-97.5169,80.69,77,63,12.35,broken clouds
88,Surt,LY,31.2089,16.5887,60.51,65,64,19.06,broken clouds
89,Hofn,IS,64.2539,-15.2082,30.34,59,0,8.34,clear sky
90,New Norfolk,AU,-42.7826,147.0587,60.75,36,2,2.98,clear sky
91,Sakakah,SA,29.9697,40.2064,58.57,41,71,5.14,broken clouds
92,Oussouye,SN,12.485,-16.5469,78.89,63,99,6.62,overcast clouds
93,Storsteinnes,NO,69.2408,19.2344,19.4,92,8,6.42,clear sky
94,Xuanhua,CN,40.6103,115.0447,31.3,39,0,2.1,clear sky
95,Morant Bay,JM,17.8815,-76.4093,78.42,82,100,7.67,overcast clouds
96,Port Macquarie,AU,-31.4333,152.9167,67.96,94,90,9.22,overcast clouds
97,Emerald,AU,-23.5333,148.1667,82.54,69,40,10.36,scattered clouds
98,Quelimane,MZ,-17.8786,36.8883,80.55,83,0,12.66,clear sky
99,Kruisfontein,ZA,-34.0033,24.7314,59.88,97,100,16.28,light rain
100,Kapaa,US,22.0752,-159.319,73.72,64,20,4.61,light rain
101,Mount Gambier,AU,-37.8333,140.7667,60.71,51,40,9.22,scattered clouds
102,Bredasdorp,ZA,-34.5322,20.0403,61.29,94,100,18.63,heavy intensity rain
103,Ngunguru,NZ,-35.6167,174.5,76.15,82,87,12.06,overcast clouds
104,East London,ZA,-33.0153,27.9116,68.88,95,100,18.81,light rain
105,Butembo,CD,0.15,29.2833,57.34,96,99,2.77,light rain
106,Sinazongwe,ZM,-17.2614,27.4618,80.58,46,2,5.46,clear sky
107,Victoria,HK,22.2855,114.1577,64.38,67,86,8.01,overcast clouds
108,Koch Bihar,IN,26.3167,89.4333,64.78,73,54,4.7,broken clouds
109,Ambilobe,MG,-13.2,49.05,75.58,76,13,3.27,few clouds
110,Qaanaaq,GL,77.484,-69.3632,-0.02,64,59,7.4,broken clouds
111,Jibuti,DJ,11.5,42.5,69.22,69,0,11.61,clear sky
112,Airai,TL,-8.9266,125.4092,63.72,88,100,0.36,overcast clouds
113,Fortuna,US,40.5982,-124.1573,52.14,95,90,0.0,overcast clouds
114,Annau,TM,37.8876,58.516,36.9,93,0,9.22,clear sky
115,Hami,CN,42.8,93.45,26.56,54,89,4.85,overcast clouds
116,Aden,YE,12.7794,45.0367,78.96,66,0,12.12,clear sky
117,Castro,BR,-24.7911,-50.0119,63.21,85,48,9.98,scattered clouds
118,Haian,CN,32.5436,120.45,45.25,70,16,4.74,few clouds
119,Fort Wellington,GY,6.4,-57.6,77.83,84,58,8.1,broken clouds
120,Ceatalchioi,RO,45.2886,28.7937,37.98,75,100,0.72,overcast clouds
121,Hunfeld,DE,50.6797,9.7673,39.27,94,100,11.27,overcast clouds
122,Avera,US,33.194,-82.5271,64.71,68,99,5.28,overcast clouds
123,Carnarvon,AU,-24.8667,113.6333,75.27,83,0,6.91,clear sky
124,Ribeira Grande,PT,38.5167,-28.7,64.24,75,91,11.92,overcast clouds
125,Alekseyevsk,RU,57.8406,108.3492,22.44,84,100,12.88,overcast clouds
126,Aquin,HT,18.2833,-73.4,78.01,80,70,2.01,broken clouds
127,Chunskiy,RU,56.0815,99.6342,20.7,85,100,14.07,overcast clouds
128,Acarau,BR,-2.8856,-40.12,79.81,82,36,12.84,scattered clouds
129,Kavieng,PG,-2.5744,150.7967,83.23,79,100,10.22,moderate rain
130,Lebu,CL,-37.6167,-73.65,54.99,79,0,20.11,clear sky
131,Iqaluit,CA,63.7506,-68.5145,8.33,85,90,32.21,light snow
132,Aklavik,CA,68.2191,-135.0107,-21.17,68,1,3.44,clear sky
133,Manjacaze,MZ,-24.7117,33.8828,75.09,73,0,7.34,clear sky
134,Khatanga,RU,71.9667,102.5,-21.98,97,100,10.76,overcast clouds
135,Kulhudhuffushi,MV,6.6221,73.07,81.28,76,38,5.93,scattered clouds
136,Berlevag,NO,70.8578,29.0864,17.69,86,33,25.57,scattered clouds
137,Batagay,RU,67.6333,134.6333,-25.56,96,100,3.53,overcast clouds
138,Esperance,AU,-33.8667,121.9,64.24,59,39,8.46,scattered clouds
139,Bethel,US,41.3712,-73.414,43.65,73,1,1.01,clear sky
140,Coueron,FR,47.2151,-1.7217,44.71,90,75,5.75,broken clouds
141,Isangel,VU,-19.55,169.2667,84.31,79,75,5.75,broken clouds
142,Saint-Philippe,RE,-21.3585,55.7679,76.55,84,31,10.07,scattered clouds
143,Port Blair,IN,11.6667,92.75,78.84,83,40,4.61,mist
144,Kahului,US,20.8947,-156.47,76.26,61,40,17.27,scattered clouds
145,Mataura,NZ,-46.1927,168.8643,53.47,94,100,7.34,light rain
146,Tumpat,MY,6.1978,102.171,78.78,78,40,4.61,scattered clouds
147,Minot,US,48.2325,-101.2963,32.22,64,90,10.36,light snow
148,Talnakh,RU,69.4865,88.3972,-30.8,99,100,3.65,overcast clouds
149,Cairns,AU,-16.9167,145.7667,91.11,56,28,12.66,scattered clouds
150,Upernavik,GL,72.7868,-56.1549,23.67,65,100,3.6,overcast clouds
151,Itoman,JP,26.1247,127.6694,64.42,59,40,12.66,scattered clouds
152,Shimoda,JP,34.6667,138.95,49.1,61,38,10.98,scattered clouds
153,Luzhou,CN,28.8724,105.4405,57.22,75,100,3.22,overcast clouds
154,Nanning,CN,22.8167,108.3167,46.85,49,22,1.66,few clouds
155,Chernyshevskiy,RU,63.0128,112.4714,0.0,90,94,11.3,overcast clouds
156,Billings,US,45.7833,-108.5007,37.29,72,75,3.44,broken clouds
157,Kamaishi,JP,39.2667,141.8833,32.95,54,12,5.79,few clouds
158,Namatanai,PG,-3.6667,152.4333,86.31,67,85,7.0,light rain
159,Ongandjera,NA,-17.8833,15.0667,73.49,22,60,10.54,broken clouds
160,Tabou,CI,4.423,-7.3528,79.83,82,22,5.95,few clouds
161,Staraya Poltavka,RU,50.4772,46.4814,33.12,100,100,7.05,snow
162,Ahipara,NZ,-35.1667,173.1667,73.89,68,45,11.81,scattered clouds
163,Namibe,AO,-15.1961,12.1522,69.73,72,39,3.69,scattered clouds
164,Erzin,TR,36.9559,36.2,52.32,51,52,9.75,broken clouds
165,Port Lincoln,AU,-34.7333,135.8667,61.45,67,100,9.48,overcast clouds
166,Cavalcante,BR,-13.7975,-47.4583,68.27,95,77,2.68,broken clouds
167,Carmo,BR,-21.9336,-42.6086,66.79,97,25,3.27,scattered clouds
168,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,24.16,broken clouds
169,Kaitangata,NZ,-46.2817,169.8464,59.94,75,100,9.4,overcast clouds
170,Rocha,UY,-34.4833,-54.3333,59.72,94,75,5.12,broken clouds
171,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,4.61,scattered clouds
172,Micheweni,TZ,-4.9667,39.8333,78.48,81,28,4.34,light rain
173,Edd,ER,13.9297,41.6925,79.63,50,0,17.69,clear sky
174,Svetlaya,RU,46.5389,138.3297,13.28,64,3,7.72,clear sky
175,Saint George,US,37.1041,-113.5841,70.36,26,1,1.01,clear sky
176,Camacha,PT,33.0833,-16.3333,63.36,59,75,13.8,broken clouds
177,Kloulklubed,PW,7.0419,134.2556,81.1,73,88,4.47,overcast clouds
178,Faanui,PF,-16.4833,-151.75,81.23,69,58,13.29,broken clouds
179,Albany,US,42.6001,-73.9662,40.62,80,85,9.69,overcast clouds
180,Bandarbeyla,SO,9.4942,50.8122,74.37,69,31,13.47,scattered clouds
181,Bada,RU,51.392,109.8717,17.56,94,81,5.26,broken clouds
182,Grindavik,IS,63.8424,-22.4338,28.87,80,0,13.8,clear sky
183,Port Elizabeth,ZA,-33.918,25.5701,62.1,100,75,12.66,light rain
184,Dingle,PH,10.9995,122.6711,76.73,85,62,12.59,broken clouds
185,Nantucket,US,41.2835,-70.0995,42.96,66,96,14.85,overcast clouds
186,Pitimbu,BR,-7.4706,-34.8086,79.39,82,28,11.72,scattered clouds
187,Araouane,ML,18.9048,-3.5265,65.75,19,98,12.97,overcast clouds
188,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,69,1,6.91,clear sky
189,Blama,SL,7.8736,-11.3433,76.51,91,75,0.96,broken clouds
190,Barrow,US,71.2906,-156.7887,19.42,73,90,23.02,overcast clouds
191,Rupert,US,42.6191,-113.6772,55.35,38,1,8.05,clear sky
192,Dudinka,RU,69.4058,86.1778,-30.39,100,93,6.15,overcast clouds
193,Sestri Levante,IT,44.2732,9.3968,53.96,94,100,4.0,overcast clouds
194,Grand Gaube,MU,-20.0064,57.6608,77.4,72,54,1.99,broken clouds
195,Vestmannaeyjar,IS,63.4427,-20.2734,39.02,64,52,14.09,broken clouds
196,Lata,PT,40.1629,-8.3327,50.81,94,21,4.52,few clouds
197,Sobolevo,RU,54.4299,31.8996,27.25,91,100,7.36,overcast clouds
198,Naco,MX,31.3347,-109.9483,66.29,23,95,4.21,overcast clouds
199,Oistins,BB,13.0667,-59.5333,78.89,78,40,14.97,scattered clouds
200,Baghdad,IQ,33.3406,44.4009,46.31,61,98,2.3,overcast clouds
201,Kalabo,ZM,-14.97,22.6814,70.11,83,97,5.21,moderate rain
202,Mahebourg,MU,-20.4081,57.7,77.29,78,40,4.61,scattered clouds
203,Harbour Breton,CA,47.4833,-55.7983,34.0,57,61,28.61,broken clouds
204,Acapulco,MX,16.8634,-99.8901,85.82,66,1,5.75,clear sky
205,Contamana,PE,-7.3333,-75.0167,82.85,67,100,4.54,light rain
206,Necochea,AR,-38.5473,-58.7368,57.04,69,98,10.71,overcast clouds
207,Kidodi,TZ,-7.6036,37.0044,71.31,95,81,1.1,light rain
208,Huarmey,PE,-10.0681,-78.1522,67.69,85,100,8.21,overcast clouds
209,High Level,CA,58.5169,-117.136,-12.89,77,40,5.75,scattered clouds
210,Liusha,CN,27.2098,108.59,43.68,80,1,1.72,clear sky
211,Uni,RU,57.7535,51.4923,24.12,91,100,13.24,overcast clouds
212,Shaoyang,CN,27.2315,111.4525,48.7,55,2,1.1,clear sky
